news_id,news_url_absolute,news_init_date,news_final_date,clase
news10006,https://www.bluradio.com/economia/precio-dolar-hoy-trm-hoy-colombia-cotizacion-de-la-divisa-este-2-de-agosto-so35,2022-07-30,2022-08-14,Sostenibilidad
news10011,https://www.semana.com/economia/macroeconomia/articulo/atencion-reforma-tributaria-de-petro-propone-acabar-con-el-4-x-1000-en-este-tipo-de-casos/202228/,2022-07-30,2022-08-14,Reputación
news10015,https://elcomercio.pe/respuestas/que/gustavo-petro-que-dice-el-informe-final-de-su-equipo-de-empalme-desfinanciamiento-del-ingreso-solidario-tdex-revtli-noticia/,2022-07-30,2022-08-14,Sostenibilidad
news10028,https://www.lanacion.com.ar/estados-unidos/cuanto-cuesta-y-como-enviar-dinero-de-estados-unidos-a-otros-paises-remesas-del-viernes-12-de-agosto-nid12082022/,2022-07-30,2022-08-14,Sostenibilidad
news10029,https://www.lanacion.com.ar/estados-unidos/como-enviar-dinero-de-estados-unidos-a-otros-paises-y-cuanto-cuesta-remesas-del-viernes-5-de-agosto-nid05082022/,2022-07-30,2022-08-14,Sostenibilidad
news10030,https://www.semana.com/economia/macroeconomia/articulo/cuanto-cuesta-hacer-mercado-en-venezuela-este-es-el-precio-de-la-canasta-familiar/202246/,2022-07-30,2022-08-14,Reputación
news10031,https://www.lanacion.com.ar/estados-unidos/cuanto-cuesta-enviar-dinero-de-estados-unidos-a-otros-paises-remesas-del-jueves-11-de-agosto-nid11082022/,2022-07-30,2022-08-14,Sostenibilidad
news10033,https://expansion.mx/unicorn-hunters/2022/08/08/el-unicornio-clara-logra-financiamiento-de-150-mdd-por-goldman-sachs,2022-07-30,2022-08-14,Reputación
news10044,https://www.bloomberglinea.com/2022/08/02/citibanamex-atraeria-ofertas-para-su-venta-de-entre-us7000-y-us8000-millones/,2022-07-30,2022-08-14,Sostenibilidad
news10057,https://www.bbva.com/es/es/sostenibilidad/opdenergy-cierra-con-bbva-y-el-bei-una-financiacion-verde-para-proyectos-fotovoltaicos-en-espana/,2022-07-15,2022-07-30,Sostenibilidad
news10058,https://www.bbva.com/es/sostenibilidad/javier-rodriguez-soler-nuevo-presidente-del-consejo-asesor-del-centro-de-educacion-y-capacidades-financieras-de-bbva/,2022-07-15,2022-07-30,Innovación
news10064,https://www.bbva.com/es/investigacion-industria-y-talento-se-fusionan-para-impulsar-la-computacion-cuantica/,2022-07-15,2022-07-30,Sostenibilidad
news10068,https://www.bbva.com/es/world-finance-reconoce-a-garanti-bbva-como-mejor-banco-minorista-de-turquia/,2022-07-15,2022-07-30,Reputación
news10077,https://www.bbva.com/es/mx/bbva-mexico-ha-incrementado-la-cartera-en-mas-de-160000-millones-de-pesos-durante-los-ultimos-12-meses-en-apoyo-al-sector-productivo-y-a-las-familias/,2022-07-15,2022-07-30,Reputación
news10080,https://www.swissinfo.ch/spa/bolivia-prepara-respuesta-a-fallo-de-arbitraje-en-favor-de-espa%C3%B1ol-bbva/47760200,2022-07-15,2022-07-30,Sostenibilidad
news10086,https://www.bbva.com/es/bbva-nombra-a-pierre-goffin-como-nuevo-country-manager-en-francia/,2022-07-15,2022-07-30,Reputación
news10088,https://m.vanguardia.com/deportes/seleccion-colombia/seleccion-colombia-femenina-y-su-golpe-de-autoridad-en-el-mundial-sub-20-LC5554269,2022-07-30,2022-08-14,Sostenibilidad
news10090,https://www.bbva.com/es/bbva-bme-y-bid-realizan-la-primera-emision-de-un-bono-regulado-registrado-con-blockchain-en-espana/,2022-07-15,2022-07-30,Reputación
news10103,https://www.radiomontecarlo.com.uy/2022/08/11/nacionales/fernandez-las-medidas-seran-sorpresivas-y-podrian-complicar-la-cadena-de-pagos-del-pais/,2022-07-30,2022-08-14,Sostenibilidad
news10105,https://www.bloomberglinea.com/2022/08/03/banco-central-de-brasil-prepara-nueva-alza-de-tasas-podria-ser-ultima-del-ciclo/,2022-07-30,2022-08-14,Sostenibilidad
news10106,https://www.bbva.com/es/sostenibilidad/ifc-otorga-credito-por-200-millones-de-dolares-a-bbva-en-colombia-para-apoyar-las-finanzas-verdes/,2022-07-15,2022-07-30,Sostenibilidad
news10107,https://www.bbva.com/es/resultados-2t22/,2022-07-15,2022-07-30,Sostenibilidad
news10109,https://www.laopinion.com.co/futbol/colombia-subcampeona-de-la-copa-america-femenina,2022-07-30,2022-08-14,Sostenibilidad
news10110,https://www.laopinion.com.co/economia/nequi-sera-una-compania-de-financiamiento-por-fuera-de-bancolombia,2022-07-30,2022-08-14,Sostenibilidad
news10111,https://www.laopinion.com.co/politica/posesion-presidencial-el-inusual-evento-que-eligio-petro,2022-07-30,2022-08-14,Sostenibilidad
news10112,https://www.bnamericas.com/es/noticias/ecuador-cuenta-con-su-primer-hub-de-innovacion,2022-07-15,2022-07-30,Sostenibilidad
news10115,https://www.eldiarioar.com/economia/washington-batakis-le-aseguro-inversores-pleno-apoyo-gobierno-ajuste_1_9202486.html,2022-07-15,2022-07-30,Sostenibilidad
news10116,https://www.laopinion.com.co/politica/11-jefes-de-estado-ya-confirmaron-asistencia-posesion-de-petro,2022-07-30,2022-08-14,Innovación
news10117,https://www.swissinfo.ch/spa/eeuu-justicia_condenan-en-miami-a-ladr%C3%B3n-que-atrac%C3%B3-dos-veces-el-mismo-banco/47769262,2022-07-15,2022-07-30,Sostenibilidad
news10118,https://cronica.uno/rodriguez-laprea-no-esta-planteado-que-yo-abandone-monomeros/,2022-07-15,2022-07-30,Innovación
news10120,https://www.radiomontecarlo.com.uy/2022/07/19/deporte/uruguay-cierra-su-participacion-en-la-copa-america-con-goleada-a-peru/,2022-07-15,2022-07-30,Sostenibilidad
news10130,https://www.lanacion.com.ar/estados-unidos/envio-de-dinero-de-estados-unidos-a-mexico-y-otros-paises-hoy-remesas-del-viernes-29-de-julio-nid29072022/,2022-07-15,2022-07-30,Sostenibilidad
news10134,https://www.bloomberglinea.com/2022/08/02/citi-completa-la-venta-de-su-banca-offshore-en-uruguay-a-insigneo/,2022-07-30,2022-08-14,Sostenibilidad
news10135,https://www.lanacion.com.ar/estados-unidos/envio-de-dinero-de-estados-unidos-a-mexico-y-otros-paises-remesas-del-lunes-25-de-julio-nid25072022/,2022-07-15,2022-07-30,Sostenibilidad
news10137,https://lexlatin.com/noticias/cubico-sustainable-investments-adquiere-parque-eolico-kiyu-y-vientos-de-pastorale,2022-07-30,2022-08-14,Sostenibilidad
news10141,https://www.swissinfo.ch/spa/uruguay-huelga_sindicato-ocupa-la-sede-central-del-citibank-en-uruguay/47821386,2022-07-30,2022-08-14,Sostenibilidad
news10142,https://www.diariodemallorca.es/economia/2022/08/10/grandes-empresas-espanolas-presencia-colombia-73344549.html,2022-07-30,2022-08-14,Reputación
news10143,https://lexlatin.com/noticias/acon-vitalis-obtiene-credito-transfronterizo,2022-07-30,2022-08-14,Reputación
news10150,https://www.bnamericas.com/es/analisis/economia-de-brasil-tendra-mejor-desempeno-que-lo-esperado,2022-07-15,2022-07-30,Sostenibilidad
news10152,https://www.computerweekly.com/es/cronica/Transformacion-energetica-en-America-Latina-requiere-de-digitalizacion,2022-07-15,2022-07-30,Sostenibilidad
news10154,https://www.radiomontecarlo.com.uy/2022/07/27/nacionales/conflicto-en-citibank-se-extiende-a-todo-el-sistema-financiero/,2022-07-15,2022-07-30,Sostenibilidad
news10156,https://www.radiomontecarlo.com.uy/2022/07/31/nacionales/aebu-busca-prorrogar-por-al-menos-diez-dias-los-seis-despidos-en-el-citibank/,2022-07-30,2022-08-14,Macroeconomía
news10158,https://m.vanguardia.com/economia/nacional/colombiamoda-colombiatex-2022-finalizo-con-record-de-asistencia-y-le-dejo-a-medellin-12-millones-de-dolares-YC5510436,2022-07-30,2022-08-14,Sostenibilidad
news10161,https://www.efe.com/efe/cono-sur/latinoamerica/el-espanol-banco-santander-se-queda-fuera-de-la-puja-por-mexicano-banamex/50000764-4855216,2022-07-15,2022-07-30,Reputación
news10168,https://www.laopinion.com.co/empresas/bbva-obtuvo-en-colombia-utilidades-por-149-millones-de-euros-en-el-primer-semestre-de-2022,2022-07-15,2022-07-30,Sostenibilidad
news10173,https://www.laopinion.com.co/futbol/la-seleccion-colombia-femenina-y-su-triple-premio,2022-07-15,2022-07-30,Reputación
news10176,https://es.investing.com/news/stock-market-news/el-ibex35-sufre-el-castigo-ruso-mientras-se-prepara-para-las-novedades-de-la-fed-2276918,2022-07-15,2022-07-30,Macroeconomía
news10180,https://www.eltiempo.com/mundo/eeuu-y-canada/se-disfrazo-de-abuela-para-robar-un-banco-en-estados-unidos-689097,2022-07-15,2022-07-30,Sostenibilidad
news10188,https://www.pv-magazine.es/2022/07/21/el-precio-para-la-salida-a-bolsa-de-opdenergy-se-fija-en-475-e-por-accion/,2022-07-15,2022-07-30,Sostenibilidad
news10189,https://elcomercio.pe/mundo/actualidad/guerra-rusia-ucrania-banco-mundial-anuncia-nueva-ayuda-de-4500-millones-de-dolares-para-ucrania-volodymyr-zelensky-vladimir-putin-rmmn-noticia/,2022-07-30,2022-08-14,Reputación
news10191,https://www.radiomontecarlo.com.uy/2022/07/21/nacionales/de-concretarse-los-despidos-el-conflicto-se-profundizara-advierten-desde-aebu-banca-privada/,2022-07-15,2022-07-30,Sostenibilidad
news10192,https://www.goal.com/es-mx/noticias/por-que-laliga-cambia-de-nombre-y-patrocinador-de-santander-a-ea-sports-y-cuanto-dinero-pagan/blt7c1340a92be22d64,2022-07-30,2022-08-14,Sostenibilidad
news10194,https://www.wradio.com.co/2022/08/01/autorizan-a-nequi-a-ser-una-compania-de-financiamiento-se-separa-de-bancolombia/,2022-07-30,2022-08-14,Reputación
news10196,https://m.vanguardia.com/economia/local/colombiamoda-colombiatex-2022-abren-las-puertas-a-marcas-empresarios-y-compradores-BI5479210,2022-07-15,2022-07-30,Reputación
news10198,https://www.perfil.com/noticias/bloomberg/bc-colombiano-petro-se-posesiona-con-retos-fiscales-en-primer-plano.phtml,2022-07-30,2022-08-14,Sostenibilidad
news10201,https://colombia.as.com/actualidad/ingreso-solidario-hasta-cuando-lo-puedo-cobrar-y-que-hacer-n/,2022-07-30,2022-08-14,Sostenibilidad
news10202,https://globallegalchronicle.com/proparco-and-financiera-de-desarrollo-nacionals-130-million-financing-for-the-acquisition-of-electric-buses-in-bogota/,2022-07-15,2022-07-30,Alianza
news10204,https://www.eltiempo.com/economia/finanzas-personales/asi-funcionara-la-banca-grupal-que-implementara-bancamia-691536,2022-07-30,2022-08-14,Sostenibilidad
news10207,https://es-us.vida-estilo.yahoo.com/d%C3%B3lar-argentina-precios-d%C3%B3lar-digital-102400597.html,2022-07-15,2022-07-30,Sostenibilidad
news10222,https://www.bnamericas.com/es/noticias/dbrs-morningstar-confirma-argentina-en-ccc-tendencia-estable,2022-07-15,2022-07-30,Sostenibilidad
news10233,https://www.semana.com/economia/management/articulo/cinco-pasos-para-tener-exito-como-gerente-sin-sacrificar-la-vida-personal/202232/,2022-07-15,2022-07-30,Sostenibilidad
news10234,https://www.larepublica.co/globoeconomia/latam-airlines-demanda-en-nueva-york-a-wework-chile-para-recuperar-us-130-000-3405644,2022-07-15,2022-07-30,Sostenibilidad
news10236,https://www.eltiempo.com/justicia/servicios/que-debo-hacer-si-no-puedo-pagar-una-deuda-con-mi-banco-693549,2022-07-30,2022-08-14,Sostenibilidad
news10239,https://www.eltiempo.com/economia/finanzas-personales/billetera-digital-nequi-daviplata-dale-y-mas-apps-cambiaron-el-comercio-691246,2022-07-30,2022-08-14,Sostenibilidad
news10240,https://www.semana.com/economia/macroeconomia/articulo/hasta-donde-subiran-las-tasas-de-interes/202251/,2022-07-30,2022-08-14,Innovación
news10249,https://cambiocolombia.com/articulo/economia/las-cuentas-del-banco-de-la-republica-para-subir-mas-las-tasas,2022-07-30,2022-08-14,Sostenibilidad
news10250,https://www.infobae.com/america/colombia/2022/08/02/inflacion-en-colombia-sera-de-casi-el-10-por-ciento-en-el-2022-aseguro-el-banco-de-la-republica/,2022-07-30,2022-08-14,Sostenibilidad
news10259,https://www.valoraanalitik.com/2022/08/01/banco-republica-colombia-aumentar-perdidas-junio-2022/,2022-07-30,2022-08-14,Reputación
news10260,https://elpais.com/america-colombia/2022-08-08/de-la-espada-de-bolivar-a-la-fuerza-afro-de-francia-marquez-las-escenas-que-marcaron-la-posesion-de-gustavo-petro.html,2022-07-30,2022-08-14,Sostenibilidad
news10271,https://www.ny1noticias.com/nyc/noticias/noticias/2022/08/07/petro-jura-como-primer-presidente-de-izquierda-en-colombia,2022-07-30,2022-08-14,Sostenibilidad
news10276,https://www.latimes.com/espanol/internacional/articulo/2022-08-08/el-simbolo-de-la-espada-de-bolivar-en-la-asuncion-de-petro,2022-07-30,2022-08-14,Sostenibilidad
news10289,https://www.pulzo.com/nacion/quienes-financiaron-campanas-representantes-camara-bogota-PP1643491A,2022-07-15,2022-07-30,Innovación
news10290,https://www.elcolombiano.com/negocios/encuesta-del-banco-de-la-republica-pronostica-dolar-e-inflacion-para-2022-HD18395471,2022-07-30,2022-08-14,Reputación
news10292,https://caracol.com.co/radio/2022/07/28/economia/1659015145_834057.html,2022-07-15,2022-07-30,Reputación
news10297,https://colombia.as.com/actualidad/ingreso-solidario-como-cobrarlo-a-traves-de-bancolombia-daviplata-n/,2022-07-15,2022-07-30,Sostenibilidad
news10299,https://www.laopinion.com.co/finanzas-personales/cuanto-le-cobran-los-bancos-por-retiros-y-avances-fuera-de-colombia,2022-07-15,2022-07-30,Reputación
news10308,https://www.eltiempo.com/datos/gustavo-petro-y-rodolfo-hernandez-cuanto-gastaron-en-sus-campanas-688549,2022-07-15,2022-07-30,Reputación
news10311,https://www.infobae.com/america/colombia/2022/08/14/no-se-deje-enganar-aprenda-a-identificar-un-autentico-billete-de-100000/,2022-07-30,2022-08-14,Sostenibilidad
news10323,https://www.eltiempo.com/economia/sector-financiero/tasas-de-captacion-en-los-bancos-superaron-el-10-en-junio-690030,2022-07-15,2022-07-30,Reputación
news10328,https://www.elcolombiano.com/negocios/por-posible-falsificacion-de-billetes-de-100000-el-banco-de-la-republica-dio-consejos-para-que-no-lo-estafen-AN18404455,2022-07-30,2022-08-14,Reputación
news10333,https://www.semana.com/mejor-colombia/articulo/un-seguro-contra-el-cambio-climatico-asi-se-busca-garantizar-la-sostenibilidad-de-mas-de-50-mil-cacaoteros-en-colombia/202217/,2022-07-30,2022-08-14,Sostenibilidad
news10335,https://www.semana.com/finanzas/consumo-inteligente/articulo/asi-se-puede-identificar-a-los-billetes-de-100000-autenticos-banco-de-la-republica-desmiente-que-haya-lote-falso/202248/,2022-07-30,2022-08-14,Sostenibilidad
news10337,https://www.semana.com/economia/inversionistas/articulo/la-produccion-industrial-en-colombia-empieza-a-contraerse/202229/,2022-07-30,2022-08-14,Sostenibilidad
news10340,https://www.pulzo.com/economia/davivienda-anuncia-cambio-toco-pedir-permiso-superfinanciera-PP1753128,2022-07-30,2022-08-14,Reputación
news10341,https://www.semana.com/economia/capsulas/articulo/banco-davivienda-aumento-su-inversion-indirecta-en-su-filial-en-costa-rica/202211/,2022-07-30,2022-08-14,Alianza
news10343,https://www.semana.com/economia/inversionistas/articulo/volatil-asi-abrio-hoy-la-bolsa-de-valores-de-colombia/202251/,2022-07-15,2022-07-30,Sostenibilidad
news10348,https://www.iproup.com/finanzas/32808-rappi-pedidosya-que-servicios-financieros-ofrecen,2022-07-15,2022-07-30,Reputación
news10351,https://www.laopinion.com.co/economia/los-bancos-que-le-permiten-abrir-cuentas-en-dolares-traves-de-filiales-en-el-exterior,2022-07-15,2022-07-30,Sostenibilidad
news10354,https://www.elheraldo.co/judicial/policia-frustra-taquillazo-en-entidad-bancaria-dos-capturados-923569,2022-07-15,2022-07-30,Reputación
news10356,https://www.pulzo.com/economia/davivienda-bancolombia-tendran-otro-rival-nu-anuncia-que-quiere-ser-banco-PP1644627,2022-07-15,2022-07-30,Reputación
news10357,https://www.nacion.com/revista-perfil/moda/diseno-latinoamericano-vestira-a-los-colaboradores/Y6BUFF5QVVGGFIEF4ACFP3YR5I/story/,2022-07-15,2022-07-30,Sostenibilidad
news10358,https://www.valoraanalitik.com/2022/07/29/cdt-mas-rentables-a-junio-de-2022-en-colombia/,2022-07-15,2022-07-30,Sostenibilidad
news10360,https://www.semana.com/economia/empresas/articulo/pagos-digitales-representan-el-54-de-las-transacciones-en-colombia/202236/,2022-07-15,2022-07-30,Sostenibilidad
news10364,https://infomercado.pe/bono-renta-joven-2022-link-como-acceder-16072022-ja/,2022-07-15,2022-07-30,Macroeconomía
news10372,https://www.swissinfo.ch/spa/noticias-m%C3%A1s-importantes-de-efe-internacional_lunes--18-de-julio-de-2022--23.00-gmt-/47763018,2022-07-15,2022-07-30,Innovación
news10374,https://www.semana.com/nacion/articulo/el-arte-de-enganar-estrategias-bajas-de-buscar-clientes/202235/,2022-07-15,2022-07-30,Reputación
news10375,https://www.bnamericas.com/es/reportajes/mineras-lidian-con-demandas-por-salarios-y-bonos-en-mexico,2022-07-15,2022-07-30,Sostenibilidad
